Bedrooms,Bathrooms,Price,Areasqft
3,3,349000,23086.8
3,1,225000,1450
3,1,15000,5227
3,1,125000,9148
3,2,199900,9148
3,2,264900,34848
3,1,109000,18730.8
3,2,185000,10454.4
3,1,125000,91476
3,1,85000,8276
3,2,85120,4269
3,2,137900,26136
3,2,212900,13503.6
4,2,189900,22215.6
3,2,319900,13503.6
4,2,169900,10018.8
3,2,320000,7841
3,2,349900,86248.8
3,1,90000,6970
3,2,1100000,3485
3,2,287999,10890
3,1,225000,1170
3,2,399000,63597.6
3,2,339000,11761.2
5,3,374900,30056.4
4,3,299325,15681.6
3,2,319900,14810.4
4,2,239900,21780
3,2,369000,38332.8
1,1,115000,522
4,2,275000,5227
3,2,272000,12632.4
4,2,365000,7405
3,3,879000,1621
4,2,875000,4792
4,2,292870,2347
5,3,950000,8276
3,3,760000,1539
4,3,418000,8276
5,3,975000,9583
5,3,950000,9583
4,2,251250,1559
3,2,115000,43560
3,2,159000,82764
4,3,425000,16552.8
3,2,157900,435600
3,2,100000,43560
4,3,250000,2484
4,2,485900,927828
3,2,199999,43560
3,2,115000,127630.8
3,2,289900,136778.4
3,2,152500,17424
4,3,249000,26136
4,2,400000,41382
3,2,209900,1452
4,3,174900,35719.2
3,2,99900,43995.6
3,2,240000,14810.4
4,2,485000,15681.6
2,2,112000,52707.6
7,4,374900,37461.6
2,1,275000,43560
3,2,119900,216057.6
5,4,864900,91911.6
3,1,95000,1698
4,3,365000,60984
5,3,375000,348480
3,2,199900,22651.2
4,3,179900,52272
5,3,524900,139392
3,2,270000,10454.4
5,4,264500,27442.8
3,2,85000,19602
3,2,215000,43560
3,2,450000,4792
5,4,500000,14810.4
3,2,229000,65340
4,3,345000,21780
5,3,499900,77101.2
4,2,245000,41382
5,3,139000,17859.6
3,1,49900,113256
4,2,169900,44866.8
3,2,135000,86248.8
3,1,159900,19166.4
4,2,294900,6350
3,2,235000,26136
6,3,849900,28749.6
4,3,359900,16117.2
4,2,85000,20908.8
3,2,372400,19602
4,3,261000,22215.6
3,2,204540,5968
5,4,826100,3991
3,2,65000,10454.4
3,2,204900,36154.8
4,2,299900,22651.2
4,2,225400,5968
2,2,219000,2975
4,2,339900,21780
3,2,275000,5449
3,2,385000,15246
3,2,92500,6970
3,2,205400,6795
5,4,589000,43560
6,5,950000,64904.4
2,1,39000,15681.6
4,3,249900,348480
3,1,84900,6534
3,2,295000,40510.8
3,2,125000,43560
4,3,159500,14810.4
3,2,524448,34412.4
3,3,209900,216057.6
3,2,165000,87120
4,2,294900,75358.8
2,2,567500,1308
2,1,330000,792
4,3,699000,23522.4
2,1,36000,18730.8
3,2,175000,17859.6
4,4,1199500,23958
4,2,319900,6579
4,3,307000,10454.4
2,2,175000,28749.6
3,2,175000,10018.8
